t, E, sx, sy, vx, vy, ax, ay
0.07799998, -2472691.5, 564.7776, 311.76538, 1881.801, 729.7205,-7151.739, 21486.719
0.07899998, -2472152.0, 566.65936, 312.4951, 1874.4272, 751.14777,-7373.7954, 21427.219
0.07999998, -2471612.0, 568.5338, 313.24625, 1866.8315, 772.5136,-7595.72, 21365.863
0.080999985, -2471072.0, 570.40063, 314.01877, 1859.014, 793.8162,-7817.517, 21302.633
0.08199999, -2470531.5, 572.25964, 314.8126, 1850.9749, 815.0537,-8039.168, 21237.512
0.08299999, -2469990.0, 574.1106, 315.62766, 1842.7142, 836.22424,-8260.674, 21170.502
0.08399999, -2469448.0, 575.9533, 316.46387, 1834.2322, 857.3258,-8482.024, 21101.582
0.08499999, -2468904.5, 577.78754, 317.3212, 1825.5289, 878.35657,-8703.212, 21030.734
0.085999995, -2468360.8, 579.61304, 318.19955, 1816.6047, 899.3145,-8924.236, 20957.97
0.087, -2467816.0, 581.4296, 319.09888, 1807.4597, 920.19775,-9145.08, 20883.26
0.088, -2467271.5, 583.23706, 320.01907, 1798.094, 941.00433,-9365.745, 20806.604
0.089, -2466725.5, 585.03516, 320.96008, 1788.5078, 961.7323,-9586.217, 20727.98
0.09, -2466178.5, 586.82367, 321.9218, 1778.7013, 982.3797,-9806.492, 20647.385
0.091000006, -2465630.0, 588.60236, 322.9042, 1768.6747, 1002.9445,-10026.557, 20564.795
0.09200001, -2465082.0, 590.37103, 323.90714, 1758.4282, 1023.42474,-10246.408, 20480.22
0.09300001, -2464531.5, 592.12946, 324.93057, 1747.9622, 1043.8184,-10466.022, 20393.615
0.09400001, -2463981.5, 593.87744, 325.9744, 1737.2767, 1064.1234,-10685.411, 20305.002
0.09500001, -2463429.0, 595.61475, 327.0385, 1726.3722, 1084.3378,-10904.55, 20214.344
0.096000016, -2462876.5, 597.3411, 328.12286, 1715.2488, 1104.4594,-11123.427, 20121.63
0.09700002, -2462322.8, 599.0564, 329.22733, 1703.9067, 1124.4862,-11342.038, 20026.86
0.09800002, -2461768.0, 600.7603, 330.3518, 1692.3463, 1144.4163,-11560.369, 19930.012
0.09900002, -2461212.0, 602.45264, 331.49622, 1680.5679, 1164.2473,-11778.407, 19831.074
0.100000024, -2460655.0, 604.1332, 332.66046, 1668.5718, 1183.9773,-11996.135, 19730.037
0.101000026, -2460097.5, 605.80176, 333.84445, 1656.3583, 1203.6041,-12213.551, 19626.887
0.10200003, -2459538.5, 607.4581, 335.04807, 1643.9276, 1223.1257,-12430.64, 19521.6
0.10300003, -2458978.0, 609.10205, 336.27118, 1631.2803, 1242.5399,-12647.382, 19414.168
0.10400003, -2458416.8, 610.73334, 337.51373, 1618.4165, 1261.8445,-12863.764, 19304.576
0.105000034, -2457854.0, 612.35175, 338.77557, 1605.3367, 1281.0374,-13079.775, 19192.809
0.106000036, -2457290.2, 613.9571, 340.0566, 1592.0413, 1300.1162,-13295.398, 19078.857
0.10700004, -2456725.0, 615.54913, 341.35672, 1578.5306, 1319.0789,-13510.615, 18962.695
0.10800004, -2456158.8, 617.1277, 342.6758, 1564.8052, 1337.9232,-13725.417, 
